"firstday","weighted_ILIpercent"
2015-09-20,1.77297
2015-09-27,1.81608
2015-10-04,2.5431
2015-10-11,2.80592
2015-10-18,2.98999
2015-10-25,3.09627
2015-11-01,2.87066
2015-11-08,3.26718
2015-11-15,3.27454
2015-11-22,4.08707
2015-11-29,3.638
2015-12-06,3.6785
2015-12-13,3.75233
2015-12-20,4.27091
2015-12-27,4.63939
2016-01-03,3.77153
2016-01-10,3.53418
2016-01-17,3.78371
2016-01-24,4.19069
2016-01-31,4.15589
2016-02-07,4.8437
2016-02-14,5.31515
2016-02-21,4.16406
2016-02-28,4.48291
2016-03-06,4.14826
2016-03-13,3.66362
2016-03-20,3.43738
2016-03-27,3.05546
2016-04-03,2.70478
2016-04-10,3.03213
2016-04-17,3.12015
2016-04-24,2.63344
2016-05-01,2.52747
2016-05-08,2.08684
2016-05-15,2.09639
2016-05-22,2.17518
2016-05-29,1.96065
2016-06-05,1.59479
2016-06-12,1.64698
2016-06-19,1.44474
2016-06-26,1.42227
2016-07-03,1.36613
2016-07-10,1.28243
2016-07-17,1.16551
2016-07-24,1.2563
2016-07-31,1.03208
2016-08-07,1.0707
2016-08-14,1.11025
2016-08-21,1.41844
2016-08-28,2.21023
2016-09-04,2.30176
2016-09-11,2.09464
2016-09-18,2.00967
2016-09-25,2.22051
2016-10-02,1.76526
2016-10-09,1.82039
2016-10-16,1.65697
2016-10-23,2.00407
2016-10-30,1.96261
2016-11-06,2.05983
2016-11-13,2.25577
2016-11-20,2.46228
2016-11-27,2.40277
2016-12-04,2.82032
2016-12-11,3.2992
2016-12-18,3.75623
2016-12-25,4.15913
2017-01-01,4.03886
2017-01-08,4.80185
2017-01-15,5.26955
2017-01-22,6.10427
2017-01-29,8.3701
2017-02-05,9.87589
2017-02-12,8.79917
2017-02-19,8.34112
2017-02-26,6.90124
2017-03-05,6.46666
2017-03-12,5.35945
2017-03-19,4.41414
2017-03-26,3.68979
2017-04-02,3.27296
2017-04-09,3.03878
2017-04-16,2.88055
2017-04-23,2.4434
2017-04-30,2.30211
2017-05-07,1.66187
2017-05-14,2.05313
2017-05-21,1.83173
2017-05-28,1.59942
2017-06-04,1.50041
2017-06-11,1.37974
2017-06-18,1.33582
2017-06-25,1.28364
2017-07-02,1.2077
2017-07-09,1.06283
2017-07-16,1.1619
2017-07-23,1.14309
2017-07-30,1.15229
2017-08-06,0.96867
2017-08-13,1.02289
2017-08-20,1.66355
2017-08-27,1.74834
2017-09-03,1.78512
2017-09-10,1.75812
2017-09-17,1.60371
